category,ntail-xapian,facesim
runtime,49.92064547538757,79.71982717514038
llc_references,35597696.315789476,188688950.54830286
llc_misses,11782291.00877193,41795382.24543081
instructions,3938589228.0701756,28770341048.577023
cycles,2764915217.916667,11794019294.464752
stall_cycles,939562291.995614,2188834066.618799
intra_coh,44598.179824561405,3246766.8929503914
inter_coh,49.73684210526316,0.8746736292428199
wall_cycles,2108250353.4649122,2104815255.8616188
llc_size,85813355.78947368,155554743.81201044
local_mem,741547025.9649123,1305843300.2610967
remote_mem,3884732.6315789474,8245044.804177546
