category,ntail-sphinx,facesim
runtime,27.403285264968872,114.0483021736145
llc_references,256004304.3043478,21399526.812749002
llc_misses,72750135.69565217,14257985.766932271
instructions,11103811006.478262,3092307890.747012
cycles,12738534992.608696,1343352840.4980078
stall_cycles,6477436381.478261,290384475.5079681
intra_coh,18588.565217391304,261291.64342629485
inter_coh,2.4782608695652177,0.2091633466135458
wall_cycles,2121311708.9565217,2325690149.113546
llc_size,168228062.60869566,49747307.09163346
local_mem,3088364054.2608695,1021428821.6733068
remote_mem,8086572.521739131,2603163.027888446
