category,ntail-xapian,SP
runtime,51.76010990142822,137.3220419883728
llc_references,35502741.76470588,43644313.360091746
llc_misses,11231908.760504201,35584062.866972476
instructions,3952760262.2899156,1576139341.582569
cycles,2618574601.7436976,1398856284.1972475
stall_cycles,789199879.8319328,730022951.1353211
intra_coh,42477.6050420168,17089.759174311926
inter_coh,122.10084033613444,0.022935779816513763
wall_cycles,2108538834.7689075,3209132535.091743
llc_size,131926996.97478992,10775110.458715595
local_mem,30946484.70588235,3793082386.788991
remote_mem,1402966.050420168,12044494.678899083
