category,ntail-xapian,canneal
runtime,51.72622561454773,80.98884797096252
llc_references,35279846.1814346,69875934.09698996
llc_misses,11224412.151898734,40549595.18394649
instructions,3953568006.2025313,2101052057.8929768
cycles,2620876636.9831223,8472162762.658863
stall_cycles,789302945.2109705,7112979035.401339
intra_coh,42691.70886075949,192357.04013377926
inter_coh,83.81856540084388,0.0
wall_cycles,2108379666.1392405,2730814590.635452
llc_size,135306952.91139242,131872021.40468226
local_mem,899546582.9535865,3056310813.110368
remote_mem,4341414.345991561,3674618.862876254
