r016,r013,instructions,cycles,gr3d,gr3d_freq,emc,emc_freq
53295356,424675637,946524607,1258740523,0,1300,1,1866
53248997,479139480,1067185248,1172827971,0,1300,1,1866
50625460,467580129,1083801323,1147136837,0,1300,1,1866
56435520,440433034,969412294,1185366279,0,1300,2,1866
60346288,415970571,907482247,1288587661,0,1300,2,1866
54295649,392630311,859553233,1179791988,0,1300,1,1866
56741406,301293929,644174943,1078592019,0,1300,1,1866
53239547,442511141,937470222,1137670129,0,1300,1,1866
47626946,471455147,1092135911,1192382558,0,1300,1,1866
47919719,371221717,861336080,1125839701,0,1300,1,1866
55899421,422404136,973028326,1283565205,0,1300,1,1866
50691262,439488518,993534878,1219860308,0,1300,1,1866
45869509,457275449,1087970707,1103210406,0,1300,2,1866
55535264,428258082,1013032589,1227374921,0,1300,1,1866
54948913,375889366,840512719,1144835126,0,1300,1,1866
51738755,356949060,789657491,1100763598,0,1300,1,1866
38258044,260307162,576808584,818816351,0,1300,1,1866
30509241,357280650,797365022,799129640,0,1300,1,1866
45653767,314336507,696412091,977240709,0,1300,1,1866
50193929,324156790,714084567,1041646713,0,1300,1,1866
45318255,365959517,840594911,1032253001,0,1300,1,1866
40021091,346170645,764227861,912989190,0,1300,1,1866
41231690,323863979,713310623,925809974,0,1300,1,1866
57666987,374494910,800627219,1087324535,0,1300,1,1866
43231786,319443548,742752047,988716227,0,1300,1,1866
39201362,278070342,605917320,850424807,0,1300,1,1866
38528420,359674563,794600160,879270759,0,1300,1,1866
45121622,294831625,669759301,981724578,0,1300,1,1866
56024915,365084994,784750225,1056508973,0,1300,1,1866
48208059,427756089,1035527784,1197735556,0,1300,1,1866
37195460,407555044,924511911,926047467,0,1300,2,1866
42648551,281412792,631214613,885368284,0,1300,1,1866
46854407,297261660,661353894,952489686,0,1300,1,1866
44638353,345891879,763899228,1005787650,0,1300,1,1866
28191269,303962052,697880122,683468944,0,1300,1,1866
25666533,261237777,658984796,620760078,0,1300,1,1866
42652777,334461052,788650120,935103876,5,1300,1,1866
27943828,247087819,590521647,655178136,0,1300,1,1866
26849079,353541502,808362007,739055031,0,1300,1,1866
39394804,289557026,645869993,839177016,0,1300,1,1866
47917794,349459615,781513282,1044672102,0,1300,1,1866
53421380,312709760,713251192,1011049040,0,1300,1,1866
22702204,283871468,662425273,611784600,0,1300,1,1866
28290076,184659100,428508181,606632614,0,1300,1,1866
40602373,234574824,524251119,807380824,0,1300,1,1866
54462645,393448771,877902497,1083657130,0,1300,2,1866
52342891,347664587,762876568,1072726473,0,1300,1,1866
11937023,123720741,302693254,356747131,0,1300,1,1866
