category,ntail-moses,bodytrack
runtime,75.92870497703552,91.77537727355957
llc_references,26368748.254189942,14807574.020737328
llc_misses,15406469.888268158,1103617.0967741935
instructions,1052894021.6061451,8356600326.693548
cycles,823568799.4832402,3652059171.2903223
stall_cycles,372059137.4022347,342023569.1013825
intra_coh,535753.4217877095,1744547.1313364056
inter_coh,42.36033519553072,0.2073732718894009
wall_cycles,2105164831.7039106,2158855107.546083
llc_size,197202949.7206704,43148056.774193555
local_mem,1171651875.75419,68984945.25345622
remote_mem,14900286.927374301,7175738.986175115
