category,"GpuKMeansBatchGpu_fg_core(0,3)",GpuKMeansBatchGpu_bg_core(4-5)
runtime,55.41982364654541,90.73168087005615
llc_references,114681136.03383459,70776706.07398568
llc_misses,885701013.7969924,576225278.3412888
instructions,2029528389.699248,1321376695.2983294
cycles,3658977860.263158,2321110076.778043
gpu_core_util,21.954887218045116,12.637231503579953
gpu_core_freq,2619.266917293233,3712.4224343675414
gpu_emc_util,19.417293233082706,17.923627684964202
gpu_emc_freq,8000.0,8000.0
