category,ntail-sphinx
runtime,30.232192039489746
llc_references,252017215.53435114
llc_misses,46810003.358778626
instructions,11016808211.755726
cycles,10983834431.145039
stall_cycles,4815333704.847328
intra_coh,9691.297709923663
inter_coh,1.2213740458015268
wall_cycles,2110050149.427481
llc_size,208161846.71755725
local_mem,2588354325.4961834
remote_mem,7374050.6870229
