category,canneal,ntail-moses
runtime,66.13239860534668,75.93921446800232
llc_references,62044548.993808046,26517701.55462185
llc_misses,38497224.6749226,18642557.955182076
instructions,1988296830.2631578,1074032985.2661064
cycles,7770013882.879257,801332040.2240896
stall_cycles,6485522455.7739935,341722373.5434174
intra_coh,234121.73374613005,587770.8823529412
inter_coh,0.015479876160990714,26.582633053221286
wall_cycles,2103749031.873065,2104134059.1036415
llc_size,120480733.12693499,97126371.3165266
local_mem,4128268871.3312693,1390773050.0840335
remote_mem,2608251.6408668733,16463854.789915968
