category,ntail-sphinx,SP
runtime,26.733769416809082,38.833393573760986
llc_references,255108229.6460177,63645609.08045977
llc_misses,74023861.94690266,46847206.465517245
instructions,11077678831.0177,2775673640.862069
cycles,12862398472.389381,1510464087.816092
stall_cycles,6610337606.371681,462247575.862069
intra_coh,21531.814159292036,5745.574712643678
inter_coh,2.433628318584071,0.0
wall_cycles,2117830725.6637168,2110102516.0632184
llc_size,158426030.44247788,72264739.31034483
local_mem,5593581694.867257,4219396001.8390803
remote_mem,24552801.415929202,11336974.71264368
