category,kmeans,ntail-img-dnn
runtime,30.449488162994385,76.16575908660889
llc_references,649182.1487603306,161935706.9273743
llc_misses,332137.64462809917,9348723.533519553
instructions,2855570938.719008,4476560956.662011
cycles,1461330803.5123968,2227031310.9217877
stall_cycles,313403559.58677685,357623917.9329609
intra_coh,18.016528925619834,294096.8854748603
inter_coh,2.68595041322314,85.33519553072625
wall_cycles,2307799594.338843,2105379050.1536312
llc_size,66578618.18181819,94081687.59776536
local_mem,136978364.29752067,1115759.5530726258
remote_mem,744727.2727272728,51257.20670391062
