category,ntail-xapian,ferret
runtime,61.003239154815674,102.48715448379517
llc_references,29014663.798586573,77723366.814433
llc_misses,9149215.812720848,29932285.958762884
instructions,3231520133.7809186,15188681633.83505
cycles,2131731713.7809186,10384796897.082474
stall_cycles,636453705.1590106,3048164851.103093
intra_coh,37963.09187279152,65422.62886597938
inter_coh,95.51236749116609,0.32989690721649484
wall_cycles,2106945402.2261486,2152671682.195876
llc_size,141518392.08480564,119318760.24742268
local_mem,67360818.65724382,500255205.60824746
remote_mem,753779.7879858657,3497055.010309278
