category,ntail-moses,swaptions
runtime,75.92620372772217,239.48168540000916
llc_references,26455383.24929972,5120481.222891566
llc_misses,16024129.31372549,4118406.957831325
instructions,1031729277.885154,1888655249.9518073
cycles,815610042.7170868,1187193683.566265
stall_cycles,370755353.837535,410413264.8674699
intra_coh,553841.8627450981,264856.8795180723
inter_coh,78.0532212885154,0.18072289156626506
wall_cycles,2106777100.8543417,2985522440.313253
llc_size,193511102.74509802,2412593.3493975904
local_mem,1495063405.7142856,277146.2168674699
remote_mem,12886910.924369749,7501.108433734939
