category,canneal,ntail-img-dnn
runtime,64.27404832839966,76.74135518074036
llc_references,65055835.55732484,161188267.52089137
llc_misses,39965478.35987261,9693958.314763231
instructions,2048026744.442675,4478306780.835655
cycles,7956768303.041401,2238989938.022284
stall_cycles,6633054637.5,347105941.3091922
intra_coh,235850.70063694267,307130.1949860724
inter_coh,0.01592356687898089,49.05292479108635
wall_cycles,2104507590.8917198,2104784524.5264623
llc_size,143784731.71974522,62250072.42339833
local_mem,2964816289.4267516,617711484.7910863
remote_mem,2370983.949044586,1660306.183844011
