category,ntail-xapian,SP
runtime,51.60559105873108,178.61599946022034
llc_references,35476501.673728816,587607868.9022989
llc_misses,11259084.618644066,310778467.9195402
instructions,3955751282.5211864,23237663457.074715
cycles,2617196566.927966,15241866081.982758
stall_cycles,788389541.3983052,6132406371.178161
intra_coh,41138.898305084746,33554.3448275862
inter_coh,78.4957627118644,0.022988505747126436
wall_cycles,2109323891.440678,2129294017.8908048
llc_size,167834641.3559322,162982005.70114943
local_mem,153325082.0338983,23473131190.436783
remote_mem,2181293.559322034,60184269.977011494
