category,kmeans,SP
runtime,43.246649742126465,146.7558410167694
llc_references,162716129.35714287,688055468.1517242
llc_misses,17570229.19047619,371749715.4275862
instructions,12691294414.11905,27802154074.23448
cycles,9003282143.02381,16293168739.206896
stall_cycles,3632533925.6666665,5593878695.993104
intra_coh,112132400.42857142,36490.64827586207
inter_coh,0.5,0.020689655172413793
wall_cycles,2108578521.0476189,2102979402.027586
llc_size,12188135.61904762,205720667.80689657
local_mem,1285597866.6666667,21880644883.420692
remote_mem,9927143.61904762,79520026.48275863
