category,ntail-sphinx,facesim
runtime,23.34236216545105,30.43460249900818
llc_references,213129294.11111113,21477737.14285714
llc_misses,144715997.6666667,8734860.714285715
instructions,9026955801.277779,3489954722.8571424
cycles,15896773634.88889,1564130419.4047618
stall_cycles,10667227183.722221,338076695.71428573
intra_coh,62499.555555555555,36996.54761904762
inter_coh,2.444444444444444,1.0714285714285714
wall_cycles,2122343474.0555553,2912252173.6904764
llc_size,67229013.33333333,90104198.09523809
local_mem,11200306289.777777,673850514.2857144
remote_mem,16675271.11111111,12779520.0
