category,ntail-sphinx,swaptions
runtime,29.752135515213013,73.47317242622375
llc_references,251334508.0078125,598378.653295129
llc_misses,52517546.2890625,292837.8080229226
instructions,10975432355.585938,4714791683.8538685
cycles,11321688164.21875,2076543350.9169054
stall_cycles,5174715209.609375,244228915.17191976
intra_coh,12214.0625,62907.97994269341
inter_coh,1.71875,0.028653295128939826
wall_cycles,2116311698.984375,2104262722.9512894
llc_size,192312320.0,3905870.487106017
local_mem,2913771520.0,9215413.180515759
remote_mem,19594240.0,99524.58452722064
