category,streamcluster,SP
runtime,124.9746606349945,168.28565311431885
llc_references,177564070.95315024,614657488.6144578
llc_misses,148128887.21324718,358583827.9939759
instructions,8008965903.852988,24295282425.23494
cycles,15717389176.995153,16295292562.403614
stall_cycles,11656538287.665588,6807449524.927711
intra_coh,10449691.663974153,59367.801204819276
inter_coh,0.4361873990306947,0.006024096385542169
wall_cycles,2103712734.3053312,2102716949.4457831
llc_size,61124760.19386106,163644971.1807229
local_mem,9502168396.510502,22300266347.95181
remote_mem,24560118.901453957,47655726.26506024
