category,ssd-eval-vgg-gpu-large,ssd-train-vgg-cpu
runtime,18.966240644454956,490.3704333305359
llc_references,58496711.91011236,77567485.83125
llc_misses,6718464.775280898,3678871.3479166664
instructions,743555552.7528089,4970666204.729167
cycles,1481303788.314607,3984834679.920833
gpu_core_util,116.62921348314606,5.047916666666667
gpu_core_freq,6500.0,6500.0
gpu_emc_util,41.62921348314606,3.645833333333333
gpu_emc_freq,9330.0,9330.0
