category,ntail-xapian,bfs
runtime,51.79170513153076,57.28235483169556
llc_references,35593391.89873418,5150766.936758894
llc_misses,11149943.459915612,2223576.2252964424
instructions,3955850248.8185654,3750027776.8577075
cycles,2602118753.797468,1587700493.7747035
stall_cycles,771987461.5189873,283910831.2450593
intra_coh,42114.83122362869,131932.25296442688
inter_coh,88.86075949367088,0.6719367588932806
wall_cycles,2108317096.3080168,2199373886.660079
llc_size,91041117.97468355,33187637.628458496
local_mem,17689189.53586498,248613276.83794466
remote_mem,175592.23628691983,1249846.6403162056
