category,SparkDSLRGpu
runtime,37.48895740509033
r016,120241921.0
r013,970012079.8918918
instructions,2266590594.918919
cycles,3783734264.891892
gr3d,0.0
gr3d_freq,1300.0
emc,1.8108108108108107
emc_freq,1866.0
