category,squeezenet1_1-train-cpu,squeezenet1_1-eval-gpu
runtime,5.995201349258423,9.471739530563354
llc_references,30074309.444444444,85260488.52272727
llc_misses,4240530.0,11615229.545454547
instructions,3805864113.518519,1489874214.659091
cycles,3560511476.296296,2327897705.113636
gpu_core_util,8.333333333333334,61.81818181818181
gpu_core_freq,6500.0,6500.0
gpu_emc_util,9.62962962962963,21.363636363636363
gpu_emc_freq,9330.0,9330.0
