category,ntail-xapian,cfd
runtime,52.0163459777832,92.42715454101562
llc_references,35436964.74683544,61821518.116279066
llc_misses,11271705.147679325,9870718.011627907
instructions,3954270488.607595,21338166408.313953
cycles,2617181534.240506,10967036513.0
stall_cycles,786033447.1097046,1711570761.5697672
intra_coh,43773.35443037975,656027.8953488371
inter_coh,93.73417721518987,0.06976744186046512
wall_cycles,2108092536.012658,2158426532.395349
llc_size,140453049.78902954,98518897.11627907
local_mem,122593798.48101266,289473274.0465116
remote_mem,1458659.9156118142,1027238.6976744187
