category,GpuKMeansBatchGpu,SparkDSLRCpu
runtime,54.76753568649292,69.94404911994934
llc_references,114557693.49809885,58043079.333333336
llc_misses,893844084.2015209,464350115.984127
instructions,2047643580.7604563,1065570233.6349206
cycles,3678143715.0190115,1954511081.952381
gpu_core_util,9.714828897338403,11.523809523809522
gpu_core_freq,2935.893536121673,3375.904761904762
gpu_emc_util,20.513307984790874,19.761904761904763
gpu_emc_freq,8000.0,8000.0
