category,ntail-xapian,fluidanimate
runtime,52.398449420928955,109.04917669296265
llc_references,35402247.5210084,44029122.91825095
llc_misses,11237512.962184874,32272614.515209123
instructions,3956410719.852941,17291765419.762356
cycles,2603904681.4915967,10081038178.754753
stall_cycles,774225058.3823528,2469123250.541825
intra_coh,45496.53361344538,2447154.486692015
inter_coh,91.30252100840336,0.03802281368821293
wall_cycles,2107602023.4243698,2146712453.5076046
llc_size,171459248.40336132,128510364.7148289
local_mem,101974566.72268909,2629960925.931559
remote_mem,1676950.588235294,12342198.022813687
