category,dedup,ntail-xapian
runtime,9.454787492752075,52.33132767677307
llc_references,26529927.375,35943648.56223176
llc_misses,9299313.0,11304525.536480686
instructions,13800766079.375,4007418907.467811
cycles,7687878977.375,2638402178.4763947
stall_cycles,1836287738.5,784621291.9957082
intra_coh,2490018.125,37170.643776824036
inter_coh,0.375,65.3862660944206
wall_cycles,2141751583.625,2107376364.4635196
llc_size,84516864.0,180501051.3304721
local_mem,1185259520.0,98484013.04721029
remote_mem,4177920.0,493629.5278969957
