category,ntail-img-dnn,ferret
runtime,75.14067244529724,115.41789484024048
llc_references,162050385.39548022,68661623.60909091
llc_misses,9350665.677966101,27029083.599999998
instructions,4476573530.550848,13417400049.918182
cycles,2257559772.7683616,9221304532.181818
stall_cycles,365947911.9915254,2740769973.590909
intra_coh,356152.59887005645,55074.009090909094
inter_coh,93.89830508474576,0.1
wall_cycles,2104839161.3135595,2146095972.409091
llc_size,96339771.29943503,94417715.19999999
local_mem,10631087.005649716,600463471.709091
remote_mem,529471.6384180791,2141835.6363636362
