category,ssd-eval-vgg-gpu-large,ssd-train-vgg-cpu
runtime,114.00214719772339,203.04980635643005
llc_references,70849706.08499096,77763993.58080807
llc_misses,3799900.596745027,4052211.01010101
instructions,520201334.2133815,4892357676.969697
cycles,1417482352.1157324,3965578181.287879
gpu_core_util,153.89692585895116,89.04040404040404
gpu_core_freq,6500.0,6500.0
gpu_emc_util,28.643761301989148,16.898989898989896
gpu_emc_freq,9330.0,9330.0
