category,ntail-xapian,ssd-train-vgg-gpu
runtime,36.5394401550293,49.232805013656616
llc_references,144157646.9375,19364877.345132746
llc_misses,25004880.15625,3441766.57079646
instructions,3156139949.0625,309159353.07522124
cycles,3996198570.90625,568022041.0840708
gpu_core_util,2.46875,133.6504424778761
gpu_core_freq,6500.0,6500.0
gpu_emc_util,26.1875,49.358407079646014
gpu_emc_freq,9330.0,9330.0
