category,ntail-xapian,GpuKMeansBatchGpu
runtime,36.79657483100891,58.26294660568237
llc_references,142272235.2484472,63274405.496323526
llc_misses,25084387.51552795,9776071.74632353
instructions,3139476985.745342,1171258960.2573528
cycles,3983900483.540373,2041515115.4411767
gpu_core_util,0.3726708074534162,0.5514705882352942
gpu_core_freq,6500.0,6500.0
gpu_emc_util,26.428571428571427,20.294117647058822
gpu_emc_freq,9330.0,9330.0
