category,ntail-sphinx,SP
runtime,31.318324089050293,158.78302359580994
llc_references,257871983.0740741,661305701.3994744
llc_misses,53006046.333333336,347583656.28120893
instructions,11196238691.222221,26115243494.507225
cycles,13101791852.259258,17097431496.235216
stall_cycles,6776123154.111111,6871413076.044678
intra_coh,17036.703703703704,43988.061760841
inter_coh,2.740740740740741,0.045992115637319315
wall_cycles,2116849555.8148148,2132177902.2273326
llc_size,191127248.5925926,177909141.02496713
local_mem,2598570363.259259,26214731985.913273
remote_mem,9903217.777777778,76104433.5348226
