category,ssd-eval-vgg-gpu-small,ssd-train-vgg-cpu
runtime,64.97870063781738,198.80245566368103
llc_references,44828351.19354838,65382865.64182195
llc_misses,3521172.0483870967,3189116.2267080746
instructions,458702382.53225803,3570320996.4699793
cycles,985186516.2419355,2894326375.2380953
gpu_core_util,299.3225806451613,96.9927536231884
gpu_core_freq,6500.0,6500.0
gpu_emc_util,54.53225806451613,19.22360248447205
gpu_emc_freq,9330.0,9330.0
