category,ntail-img-dnn,SP
runtime,57.7108690738678,149.94703030586243
llc_references,167504324.2857143,677382465.2100271
llc_misses,38616542.89473684,362689425.3523035
instructions,4474162766.729323,27400359873.868565
cycles,3208751428.2706766,16155704883.02168
stall_cycles,1241612899.1165414,5589993737.764227
intra_coh,9590948.64661654,34997.39159891599
inter_coh,26.221804511278197,0.02710027100271003
wall_cycles,2108419038.6466167,2103350796.822493
llc_size,37720156.39097744,194973152.08672088
local_mem,4895726445.714286,27341909139.07859
remote_mem,17642981.05263158,76274846.1788618
