category,ssd-eval-vgg-gpu-dynamic,ssd-train-vgg-cpu
runtime,87.92313742637634,144.30478644371033
llc_references,59184492.84869976,57312017.6083815
llc_misses,3869950.248226951,3058076.9942196533
instructions,498990676.4420804,2686685541.351156
cycles,1237417274.4089835,2196620624.783237
gpu_core_util,205.60283687943263,127.86127167630057
gpu_core_freq,6500.0,6500.0
gpu_emc_util,43.35697399527187,27.72398843930636
gpu_emc_freq,9330.0,9330.0
