category,ntail-sphinx,facesim
runtime,27.946118116378784,29.92032480239868
llc_references,257429969.78991598,11153901.25
llc_misses,67430106.97478992,6998228.75
instructions,11121987372.77311,2096792179.6875
cycles,12380935105.92437,1340218163.125
stall_cycles,6110511561.302521,427069108.75
intra_coh,17724.159663865546,564.0625
inter_coh,4.7478991596638656,0.3125
wall_cycles,2117290757.1848738,2227469728.75
llc_size,176729664.53781512,34508800.0
local_mem,3427309757.3109245,467947520.0
remote_mem,6011138.151260504,1228800.0
