category,ntail-moses,UA
runtime,75.84229445457458,130.0208718776703
llc_references,26452300.49019608,27571365.053956836
llc_misses,16063597.955182074,19641634.370503597
instructions,1043780560.6862745,2409610025.5575542
cycles,829577213.7114846,1536969455.5215826
stall_cycles,378618183.7955182,489401091.99640286
intra_coh,547363.2913165266,26573.84892086331
inter_coh,77.98319327731092,0.03597122302158273
wall_cycles,2105253210.7563024,4750114278.093525
llc_size,189058509.80392158,19964905.899280574
local_mem,1386367268.5714288,2129545171.798561
remote_mem,14472074.397759104,18697797.985611513
