category,ntail-sphinx,fluidanimate
runtime,32.96902298927307,91.78628182411194
llc_references,259831586.81818184,50879251.72093023
llc_misses,48259703.77622378,37016050.76744186
instructions,11284238424.860138,20692340703.15116
cycles,12094087642.762238,11961307916.523256
stall_cycles,5741762511.468531,2831227644.976744
intra_coh,10169.86013986014,2949561.418604651
inter_coh,4.090909090909091,0.046511627906976744
wall_cycles,2115735827.4475524,2161231162.395349
llc_size,197036504.6153846,146878368.74418604
local_mem,2615092632.1678324,3005154042.0465117
remote_mem,12385387.412587414,20393888.744186047
