llc_references,llc_misses,instructions,cycles
753127,235393,75046893,52743310
733796,222569,75386926,51950733
726387,205308,74999906,51361844
707639,217665,72782012,50672675
722618,207726,73502819,49802766
777349,250377,79081498,55862061
775956,238456,79439371,55488827
742192,217110,77614626,53517944
735955,225868,75355106,52509445
728512,214461,75983897,50843771
746540,234437,75877292,52936159
723089,186955,74064842,48309426
715304,221410,74009421,51268624
708920,194789,74027259,49177128
717098,224960,74360442,51354798
769859,223065,80774946,54976476
774551,202831,80377917,52113758
770983,223582,80540554,53965678
771995,221107,80608490,53713484
742857,235610,77026831,53301829
823707,243722,86452174,59028644
781245,226748,82269256,56040746
709838,199706,75157313,50670864
703523,196887,73617354,48870556
514632,166960,52188893,36926963
714566,223708,73363622,50945987
288074,122029,1251995925,662971178
229902,95071,1389807853,718114909
235354,97494,1389665541,717244934
232581,95254,1392053620,718154473
235181,97151,1391174930,718032160
235687,97841,1390723716,717756261
230683,95264,1391991858,718164624
233969,97313,1390006877,717431707
236503,95591,1391580732,717778939
237392,97667,1390521629,717725173
241071,96230,1389448194,716827935
234776,96961,1391922439,718219021
235868,96404,1388788156,717403518
233879,96681,1391438056,718136861
231610,96864,1391610964,718048138
232601,98865,1390487977,717878350
232339,95096,1392320048,718130959
237270,98024,1389832993,717415854
234176,95275,1391058488,717968995
235921,97353,1389739954,718048406
238020,96915,1389403013,717623935
235681,97291,1390224998,717969932
236630,96334,1389415166,717162871
237731,97132,1388184464,717339209
233202,96003,1390582438,718142358
241577,97714,1386219500,716449560
236003,95748,1390025318,717766251
238757,97987,1388357433,717430925
234176,95358,1390281685,718015420
236916,97433,1388403248,717991850
234271,97095,1390712558,717951588
234561,97276,1389940584,718077990
236250,97061,1389467490,717343618
236235,97373,1389979399,717961777
232178,96456,1391182621,718027127
236133,97125,1390181066,717981924
235019,95249,1390879855,718168131
235602,97642,1388755034,717399305
234270,95517,1391023593,718020487
234656,98465,1389766506,718040653
230814,96863,1390085766,717915759
237533,97067,1389580819,718019313
234541,96602,1388747164,717281280
237140,97015,1389949442,718139230
234388,96613,1390485859,718089166
236838,97009,1389185982,717712824
232935,96045,1390769559,718202004
238951,97388,1388638511,717378584
236719,96396,1389962761,717566608
237580,98514,1390570594,718181369
232123,96371,1390698430,718020916
233677,97343,1390339200,718165577
236313,96806,1389487538,717389568
234185,97031,1390207848,718068876
235036,96469,1390557958,718093240
6337192,2417045,1175725002,786668609
433931,171395,3665689433,1437002355
318134,176588,3591356309,1420544642
330277,177956,3606855394,1427648902
331903,179718,3617659991,1433699440
538670,178181,3567713809,1424699689
338125,172001,3571414394,1419784679
364560,169890,3519684897,1396349965
411340,173920,3561969193,1416009037
387055,174766,3565282852,1419326486
334091,175317,3524572002,1399838625
278058,171023,3582695040,1422547307
379122,171329,3532626575,1403929085
359899,173809,3553420069,1413654357
302023,175568,3561047633,1414578201
407466,177050,3541114612,1411477867
279776,172464,3584868064,1421791125
321995,169225,3529883364,1402237577
281799,172808,3526637136,1399960385
353088,175591,3572108809,1418155203
357946,173431,3491147752,1394576218
405007,176502,3618148731,1436991133
285427,171604,3596724984,1426868374
367837,177130,3561556913,1413456846
357634,175344,3571838895,1416120276
452371,181019,3602149662,1430146048
447547,174855,3598992332,1429126788
316217,171409,3593868693,1421370484
325493,173906,3516131463,1396508021
424541,173880,3555625936,1414458361
445034,177155,3575573127,1417290850
302892,175649,3618684837,1428140192
532545,168486,3585427718,1421895154
383598,173706,3536428791,1394028229
456176,174510,3583968655,1417792374
482253,176336,3604912562,1421817241
315803,179020,3641400743,1429641935
406305,171710,3622534182,1421938747
412465,174039,3593403289,1410676057
477423,177419,3593179832,1410386335
480800,177278,3601476601,1412157198
321448,178404,3666804047,1432110454
371179,176119,3621518256,1415304885
342243,172283,3598126997,1404237796
300172,177355,3633644481,1416035705
400615,180444,3643657855,1424489542
454191,178126,3651868467,1427901866
381477,180733,3593820632,1403334597
490639,172535,3672438246,1436913667
376058,174125,3605466276,1406627971
404251,179588,3626238288,1415924329
418957,172900,3582125983,1401598741
472150,174618,3569667618,1397242536
500185,172457,3621051217,1422092809
333685,171307,3610045658,1405401517
451017,179190,3622956208,1416790955
342588,175679,3555681704,1386827148
533374,180217,3638964170,1425467949
475953,173495,3588693890,1402662009
437231,172703,3670515456,1432603872
617672,178196,3625328086,1423187333
488122,175820,3616545121,1414936832
