category,GpuKMeansBatchGpu,GpuKMeansGpu
runtime,55.87047505378723,81.15769839286804
llc_references,109342191.51119404,74226414.7837838
llc_misses,883365488.4141791,577246329.7972972
instructions,2018600158.152985,1312761808.4189188
cycles,3658992353.470149,2444749499.6756754
gpu_core_util,7.518656716417911,9.608108108108107
gpu_core_freq,2511.660447761194,3366.9729729729734
gpu_emc_util,21.56716417910448,19.10810810810811
gpu_emc_freq,8000.0,8000.0
