category,canneal
runtime,58.68543004989624
llc_references,71430556.10726643
llc_misses,39142051.4532872
instructions,2228164465.916955
cycles,7981631786.15917
stall_cycles,6544734810.380623
intra_coh,185401.81660899654
inter_coh,0.0
wall_cycles,2102868038.8408303
llc_size,204174119.8615917
local_mem,2971073426.1591697
remote_mem,2474040.6920415224
