category,facesim,SP
runtime,95.41689586639404,156.06320309638977
llc_references,166585792.88747346,657514803.6979166
llc_misses,94881241.5180467,366431974.62890625
instructions,23424083251.29512,26248856615.75521
cycles,11624229704.798302,16296612469.101562
stall_cycles,3638118472.5583863,6124052249.615885
intra_coh,2577380.636942675,51029.11458333333
inter_coh,1.868365180467091,0.01953125
wall_cycles,2104658893.8322716,2103068071.002604
llc_size,41671016.90021231,183897600.0
local_mem,6672426786.242038,26821110186.666664
remote_mem,52240957.96178344,51076266.66666667
