category,GpuKMeansBatchGpu
runtime,47.477379322052
r016,160981954.5319149
r013,1330592670.531915
instructions,3025233588.212766
cycles,5314198476.680851
gr3d,8.425531914893616
gr3d_freq,140.0
emc,3.25531914893617
emc_freq,1866.0
