category,ntail-img-dnn
runtime,75.84656023979187
llc_references,161798285.7142857
llc_misses,9356492.212885154
instructions,4474797478.207283
cycles,2235924631.2184873
stall_cycles,360653343.7114846
intra_coh,185929.41176470587
inter_coh,87.94117647058825
wall_cycles,2101416867.4369745
llc_size,100680368.40336135
local_mem,504829.1316526611
remote_mem,14685.93837535014
