category,SparkDSLRGpu
runtime,142.37997198104858
r016,41800997.879432626
r013,325780710.3900709
instructions,744054593.106383
cycles,948824266.0780141
gr3d,0.0
gr3d_freq,1300.0
emc,0.2624113475177305
emc_freq,1866.0
