category,vips,ntail-sphinx
runtime,16.6914701461792,24.54929232597351
llc_references,119389998.2,296492831.0674157
llc_misses,51012717.400000006,111624491.5730337
instructions,47851624783.0,12853456745.61798
cycles,15847828311.133331,16313857046.685392
stall_cycles,808925866.4,9003819129.550562
intra_coh,1482009.8,32461.629213483146
inter_coh,7.733333333333333,1.5730337078651684
wall_cycles,2128357266.2666667,2125059489.550562
llc_size,82570990.93333334,139842042.247191
local_mem,4188213521.0666666,10006404659.77528
remote_mem,14103347.2,33261360.898876406
