category,ntail-xapian,UA
runtime,51.64729118347168,234.900545835495
llc_references,35613008.43881857,21833411.737242125
llc_misses,11212495.886075947,15596966.275787188
instructions,3952243941.8354425,1721213550.7600436
cycles,2618064732.700422,1399251697.3452768
stall_cycles,784834180.6118144,623593819.4516829
intra_coh,45336.624472573836,91992.70901194353
inter_coh,120.9071729957806,0.010857763300760045
wall_cycles,2108242964.620253,2626878376.3300757
llc_size,84487517.97468355,10530233.398479912
local_mem,36864691.30801688,1605683233.355049
remote_mem,3080468.523206751,5743472.573289903
