category,ssd-train-vgg-gpu,ntail-img-dnn
runtime,28.18670105934143,37.82835841178894
llc_references,34625719.573643416,215716551.6060606
llc_misses,6900632.364341086,45461728.27272727
instructions,518231506.9379845,2050019651.1818182
cycles,1180146296.1627908,3895556502.2727275
gpu_core_util,254.84496124031008,194.36363636363637
gpu_core_freq,6500.0,6500.0
gpu_emc_util,97.5968992248062,86.6969696969697
gpu_emc_freq,9330.0,9330.0
