category,ntail-xapian,swaptions
runtime,51.837411642074585,70.25265383720398
llc_references,35510308.037974685,11706153.637770899
llc_misses,11255688.713080168,6473600.588235294
instructions,3950674446.687764,21555451380.309597
cycles,2599769885.8016877,9780270641.021671
stall_cycles,771455482.1518987,1379636687.2445822
intra_coh,44413.58649789029,3191883.142414861
inter_coh,97.13080168776372,0.541795665634675
wall_cycles,2108569613.4599156,2180719332.151703
llc_size,116596010.12658226,4695055.851393189
local_mem,27100656.877637133,587612413.622291
remote_mem,154852.99578059072,654345.5108359132
