category,ntail-sphinx,facesim
runtime,26.354127407073975,70.13344192504883
llc_references,255473623.3181818,24998438.24925816
llc_misses,77271574.5909091,13270840.623145401
instructions,11171620417.136364,3617336685.504451
cycles,13171763239.272728,1577292883.3086052
stall_cycles,6853495747.590909,346914687.81899107
intra_coh,20307.272727272728,287555.34124629083
inter_coh,1.7727272727272727,0.17804154302670624
wall_cycles,2119587497.2272727,2105213144.4510386
llc_size,159195880.72727272,83175296.37982196
local_mem,3442421387.6363635,1258024777.68546
remote_mem,7331095.2727272725,2445445.697329377
