category,ntail-sphinx,CG
runtime,22.410109519958496,96.03485941886902
llc_references,265098333.40659338,787729545.4248366
llc_misses,117487711.97802198,148642214.8148148
instructions,11562331185.659342,7445207911.14379
cycles,16066462825.494507,16238553362.5817
stall_cycles,9483215976.263737,11638338581.873638
intra_coh,43043.73626373627,352199.5206971677
inter_coh,1.3186813186813187,0.010893246187363835
wall_cycles,2121618393.6263738,2104194166.9063182
llc_size,123355316.04395604,185046393.02832246
local_mem,9317019062.857143,11131405965.664486
remote_mem,18058408.791208792,24161938.126361653
