category,ntail-sphinx,canneal
runtime,26.464110851287842,27.834280729293823
llc_references,270724164.0740741,10028051.666666666
llc_misses,79290379.30555555,6059089.333333334
instructions,11570427708.75,1193536830.0
cycles,13292397952.037037,1503293270.3333333
stall_cycles,6777901184.537038,853163251.0
intra_coh,21296.435185185186,0.0
inter_coh,4.583333333333333,0.0
wall_cycles,2121054166.0185184,2242351767.0
llc_size,174823348.14814812,47448064.0
local_mem,3129993291.851852,714604544.0
remote_mem,8273920.0,3058346.666666667
