category,ssd-train-vgg-gpu,ssd-eval-vgg-cpu-large
runtime,188.4300935268402,201.83374333381653
llc_references,23540833.503808487,98225741.47715735
llc_misses,3245897.1599564743,4554227.065989848
instructions,409416678.89553857,4833226634.385787
cycles,567305729.874864,4007632904.071066
gpu_core_util,457.64961915125133,426.507614213198
gpu_core_freq,6500.0,6500.0
gpu_emc_util,126.68661588683351,118.95939086294416
gpu_emc_freq,9330.0,9330.0
