category,SparkDSLRCpu,GpuKMeansCpu
runtime,39.44769263267517,54.33553719520569
llc_references,98775490.05128205,95396538.75925925
llc_misses,770535203.3846154,871886997.2777778
instructions,1775491313.6153846,1998404033.5370371
cycles,3478387089.5384617,3370350028.851852
gpu_core_util,0.05128205128205128,0.037037037037037035
gpu_core_freq,1122.0,1122.0
gpu_emc_util,5.487179487179487,5.074074074074074
gpu_emc_freq,1600.0,1600.0
