category,MG,ntail-xapian
runtime,19.00499200820923,49.26061677932739
llc_references,481559624.2352941,35417816.28888889
llc_misses,364670829.41176474,11896836.48888889
instructions,32460145685.647057,3941581851.422222
cycles,15079893986.529411,2759132570.555556
stall_cycles,2895403086.6470585,920283172.4
intra_coh,327946.9411764706,48549.15555555555
inter_coh,0.0,64.13333333333333
wall_cycles,2122172014.5882354,2108956865.6666665
llc_size,174491527.52941176,134809008.35555556
local_mem,34502980788.70589,1653591244.8
remote_mem,64383337.4117647,7567223.466666667
