category,ntail-xapian,ferret
runtime,52.035624265670776,64.31165409088135
llc_references,35479045.319148935,123433519.77564102
llc_misses,11401223.29787234,51568414.87179487
instructions,3952091461.212766,24085833120.25641
cycles,2675696852.723404,16497967004.807692
stall_cycles,847149530.2127659,4876679129.631411
intra_coh,41516.6170212766,170355.70512820513
inter_coh,47.36170212765957,0.0641025641025641
wall_cycles,2107920960.0212765,2109487115.8333335
llc_size,96957026.04255319,133837325.12820512
local_mem,1410287310.9787235,1406046523.0769231
remote_mem,6216159.319148935,9622449.230769232
