category,GpuKMeansBatchCpu,ssd-eval-vgg-gpu-dynamic,ssd-train-vgg-cpu
runtime,29.688989877700806,103.54285144805908,405.5022473335266
llc_references,95180976.99275362,51746603.93814433,76310798.2574608
llc_misses,11858995.144927537,3845657.134020618,3860329.3323216997
instructions,1386538920.7608697,403684914.5773196,4938941964.580172
cycles,2523161543.5507245,1102558992.7835052,3987316779.506829
gpu_core_util,167.42753623188406,165.10309278350516,41.7298937784522
gpu_core_freq,6500.0,6500.0,6500.0
gpu_emc_util,40.39855072463769,33.43298969072165,10.311077389984826
gpu_emc_freq,9330.0,9330.0,9330.0
