category,ssd-eval-vgg-gpu-medium,ssd-train-vgg-cpu
runtime,147.39288520812988,258.9420700073242
llc_references,55621605.60369319,287641859.39634633
llc_misses,4475783.267045455,13843597.362986498
instructions,668184584.3678977,8351197933.046068
cycles,1342160176.9460227,6934340475.416998
gpu_core_util,119.09801136363637,68.97934868943607
gpu_core_freq,6500.0,6500.0
gpu_emc_util,29.44602272727273,23.193010325655283
gpu_emc_freq,9330.0,9330.0
