category,ntail-masstree,kmeans
runtime,32.09008741378784,41.33684158325195
llc_references,6788445.107913669,173514162.06989247
llc_misses,1747645.7553956835,19741515.295698926
instructions,335969770.1438849,14129412322.17742
cycles,633231192.6978418,9349479038.655914
stall_cycles,336866888.0935252,3463349767.392473
intra_coh,680947.5179856115,118692547.63440861
inter_coh,40.21582733812949,1.1827956989247312
wall_cycles,2115383000.7194245,2110345146.1827958
llc_size,103598743.02158274,123840137.63440861
local_mem,287415435.971223,1544796270.1075268
remote_mem,1751555.6834532372,4598090.322580646
