category,ntail-sphinx,CG
runtime,33.044806480407715,114.95838069915771
llc_references,258783531.1971831,657741974.1485507
llc_misses,49801711.65492958,129690505.79710144
instructions,11237099911.866198,6994360311.730072
cycles,12241190627.746479,15837054395.923912
stall_cycles,5905898490.140844,11688220537.27355
intra_coh,10381.690140845072,492261.37681159424
inter_coh,3.3098591549295775,0.0
wall_cycles,2114846941.1267605,2147345205.706522
llc_size,194302701.971831,162658096.23188406
local_mem,2970324588.169014,9245920389.565218
remote_mem,8265843.3802816905,18758492.753623188
