category,ntail-masstree,kmeans
runtime,32.06319546699524,51.15226221084595
llc_references,6814042.697841726,134625656.1607143
llc_misses,1273100.3237410071,16412244.419642856
instructions,330457527.41007197,11661185894.017857
cycles,647954639.7482015,8095525915.602678
stall_cycles,352054322.3381295,3279251969.709821
intra_coh,679010.4316546762,93143331.25
inter_coh,71.43884892086331,0.4017857142857143
wall_cycles,2115915536.258993,2213440724.308036
llc_size,157173244.31654677,108936045.7142857
local_mem,117406093.81294964,1188052114.2857144
remote_mem,1235282.8776978417,2459062.8571428573
