category,kmeans,ntail-moses
runtime,34.18907189369202,76.12119793891907
llc_references,573190.2857142857,26257364.20391061
llc_misses,316992.71428571426,15455249.106145252
instructions,2363692482.1785717,1058706163.2821229
cycles,1212052376.0714285,819027681.5083799
stall_cycles,262243641.4285714,363475882.63966477
intra_coh,0.0,527463.6312849162
inter_coh,1.1071428571428572,51.94134078212291
wall_cycles,2270899719.464286,2105036728.2960894
llc_size,5919305.142857143,202397318.43575418
local_mem,153904274.2857143,974242066.5921788
remote_mem,1069641.1428571427,11452324.469273742
