category,GpuKMeansBatchGpu,GpuKMeansCpu
runtime,58.435484647750854,64.3538544178009
llc_references,105623122.05172414,84230005.015625
llc_misses,829839897.8448275,842641687.6875
instructions,1890376411.4482758,2142268721.171875
cycles,3647068352.034483,3201552048.578125
gpu_core_util,0.7758620689655172,0.609375
gpu_core_freq,1122.0,1122.0
gpu_emc_util,5.689655172413793,5.40625
gpu_emc_freq,1600.0,1600.0
