category,streamcluster
runtime,84.80731058120728
llc_references,260096317.79236275
llc_misses,199285203.91408116
instructions,11790836324.498806
cycles,15823571574.116945
stall_cycles,9967008348.937948
intra_coh,15196721.742243435
inter_coh,0.32219570405727926
wall_cycles,2103222678.8066826
llc_size,208736852.3150358
local_mem,13010627464.248209
remote_mem,15689537.37470167
